,Mkt-RF,SMB,HML,RMW,CMA,RF,Date
196307,-0.39,-0.47,-0.83,0.66,-1.15,0.27,1963-07
196308,5.07,-0.79,1.67,0.39,-0.4,0.25,1963-08
196309,-1.57,-0.48,0.18,-0.76,0.24,0.27,1963-09
196310,2.53,-1.29,-0.1,2.75,-2.24,0.29,1963-10
196311,-0.85,-0.84,1.71,-0.45,2.22,0.27,1963-11
196312,1.83,-1.89,-0.12,0.08,-0.3,0.29,1963-12
196401,2.24,0.08,1.59,0.22,1.5,0.3,1964-01
196402,1.54,0.32,2.83,0.06,0.85,0.26,1964-02
196403,1.41,1.41,3.32,-2.01,2.93,0.31,1964-03
196404,0.1,-1.52,-0.55,-1.35,-1.08,0.29,1964-04
196405,1.42,-0.68,1.98,-0.26,0.24,0.26,1964-05
196406,1.27,0.09,0.68,-0.42,0.14,0.3,1964-06
196407,1.74,0.53,0.68,0.14,1.84,0.3,1964-07
196408,-1.44,0.3,0.09,0.06,0.36,0.28,1964-08
196409,2.69,-0.31,1.65,-0.48,0.58,0.28,1964-09
196410,0.59,0.88,1.14,-0.29,0.48,0.29,1964-10
196411,0,-0.27,-1.98,0.6,-0.16,0.29,1964-11
196412,0.03,-0.58,-2.55,1.13,-1.63,0.31,1964-12
196501,3.54,2.49,0.18,0.84,0.11,0.28,1965-01
196502,0.44,3.31,0.22,0.4,-0.69,0.3,1965-02
196503,-1.34,2.03,1.09,-0.3,0.73,0.36,1965-03
196504,3.11,1.18,0.71,0.26,-2.3,0.31,1965-04
196505,-0.77,0.06,-1.63,-0.37,0.7,0.31,1965-05
196506,-5.51,-4.3,0.55,0.12,0.41,0.35,1965-06
196507,1.43,1.07,2.18,-1.41,-0.02,0.31,1965-07
196508,2.73,2.72,-0.96,2.06,-0.76,0.33,1965-08
196509,2.86,0.62,-0.1,-0.82,0.82,0.31,1965-09
196510,2.6,3.42,1.52,1.22,-0.76,0.31,1965-10
196511,-0.03,5.19,0.21,-1.06,-0.9,0.35,1965-11
196512,1.01,2.64,1.95,-1.28,-0.45,0.33,1965-12
196601,0.72,4.72,3.49,-2.83,-0.07,0.38,1966-01
196602,-1.21,4.86,0.27,-0.15,-1.44,0.35,1966-02
196603,-2.51,0.22,-2.07,1.3,-0.01,0.38,1966-03
196604,2.14,3.36,-0.54,0.41,-0.91,0.34,1966-04
196605,-5.66,-5.18,-1.55,1.66,-1.52,0.41,1966-05
196606,-1.44,1.34,0.5,0.06,0.8,0.38,1966-06
196607,-1.63,-0.5,0.96,-0.45,1.77,0.35,1966-07
196608,-7.91,-3.03,0.47,0.05,0.77,0.41,1966-08
196609,-1.06,-1.18,0.53,-1.65,2.5,0.4,1966-09
196610,3.86,-6.53,2.87,-3.64,4.28,0.45,1966-10
196611,1.4,3.37,-4.46,4.17,-6.53,0.4,1966-11
196612,0.13,1.91,-1.22,0.68,-0.13,0.4,1966-12
196701,8.15,9,2.22,0.62,-2.97,0.43,1967-01
196702,0.78,3.03,-2.17,1.94,-0.94,0.36,1967-02
196703,3.99,1.9,0.31,0.9,-1.51,0.39,1967-03
196704,3.89,0.46,-2.64,2.43,-3.75,0.32,1967-04
196705,-4.33,2.37,0.8,-1.75,1.61,0.33,1967-05
196706,2.41,6.46,0.96,-0.64,-2.39,0.27,1967-06
196707,4.58,3.48,2.65,0.51,2.72,0.31,1967-07
196708,-0.89,0.76,1.46,0.42,1.41,0.31,1967-08
196709,3.11,2.46,-2.47,0.22,-0.95,0.32,1967-09
196710,-3.09,0.47,-3.39,0.81,-2.55,0.39,1967-10
196711,0.37,-0.06,-1.71,1.29,-2.29,0.36,1967-11
196712,3.05,5.75,-0.39,-0.65,0.03,0.33,1967-12
196801,-4.06,4.49,4.75,-4.58,6.45,0.4,1968-01
196802,-3.75,-2.91,1.17,-0.14,2.49,0.39,1968-02
196803,0.2,-1.52,-0.59,1.17,-1.15,0.38,1968-03
196804,9.05,6.25,-1.03,2.79,-3.66,0.43,1968-04
196805,2.28,7.04,0.84,0.39,-1.82,0.45,1968-05
196806,0.69,-0.26,0.67,-1.33,2.68,0.43,1968-06
196807,-2.72,-1.33,5.48,-3,3.61,0.48,1968-07
196808,1.34,2.29,1,-0.6,0.4,0.42,1968-08
196809,4.03,2.77,0.24,-2.03,0.92,0.43,1968-09
196810,0.42,-0.43,2.89,-1.3,2.81,0.44,1968-10
196811,5.43,2.41,-0.9,0.46,-2.52,0.42,1968-11
196812,-3.94,3.6,0.02,-1.78,1.65,0.43,1968-12
196901,-1.25,-0.46,1.69,-1.54,1.41,0.53,1969-01
196902,-5.84,-4.12,0.9,2.17,0.8,0.46,1969-02
196903,2.64,-0.41,-0.46,-1.34,-0.42,0.46,1969-03
196904,1.46,-0.83,0.03,0.38,0.06,0.53,1969-04
196905,-0.1,-0.18,0.73,-0.97,1.49,0.48,1969-05
196906,-7.18,-5.49,-1.09,4.26,-1.55,0.51,1969-06
196907,-7,-3.37,1.42,1.4,1.97,0.53,1969-07
196908,4.68,0.71,-3.87,1.16,-4.08,0.5,1969-08
196909,-2.98,1.29,-3.19,3.42,-0.83,0.62,1969-09
196910,5.06,3.89,-3.19,0.01,-2.03,0.6,1969-10
196911,-3.79,-2.41,-1.12,1.44,0.32,0.52,1969-11
196912,-2.63,-3.7,-3.02,2.47,-2.04,0.64,1969-12
197001,-8.1,3.09,3.04,-1.77,3.92,0.6,1970-01
197002,5.13,-2.58,4.04,-2.28,3.06,0.62,1970-02
197003,-1.06,-2.4,4.25,-0.87,4.43,0.57,1970-03
197004,-11,-6.3,6.39,-0.64,5.88,0.5,1970-04
197005,-6.92,-4.42,3.6,-1.3,3.62,0.53,1970-05
197006,-5.79,-2.17,0.87,0.19,2.9,0.58,1970-06
197007,6.93,-0.69,0.96,-0.07,1.9,0.52,1970-07
197008,4.49,1.54,1.03,0.57,-0.15,0.53,1970-08
197009,4.18,8.49,-5.58,0.24,-5.93,0.54,1970-09
197010,-2.28,-4.5,0.27,1.83,2.38,0.46,1970-10
197011,4.59,-4,1.63,1.75,1.59,0.46,1970-11
