DATE,BAAFFM
1963-01-01,1.99
1963-02-01,1.89
1963-03-01,1.90
1963-04-01,1.97
1963-05-01,1.85
1963-06-01,1.85
1963-07-01,1.82
1963-08-01,1.34
1963-09-01,1.36
1963-10-01,1.33
1963-11-01,1.36
1963-12-01,1.47
1964-01-01,1.35
1964-02-01,1.35
1964-03-01,1.40
1964-04-01,1.38
1964-05-01,1.35
1964-06-01,1.35
1964-07-01,1.41
1964-08-01,1.32
1964-09-01,1.37
1964-10-01,1.45
1964-11-01,1.29
1964-12-01,0.96
1965-01-01,0.90
1965-02-01,0.80
1965-03-01,0.74
1965-04-01,0.71
1965-05-01,0.71
1965-06-01,0.81
1965-07-01,0.79
1965-08-01,0.76
1965-09-01,0.90
1965-10-01,0.85
1965-11-01,0.85
1965-12-01,0.70
1966-01-01,0.64
1966-02-01,0.52
1966-03-01,0.67
1966-04-01,0.74
1966-05-01,0.58
1966-06-01,0.41
1966-07-01,0.38
1966-08-01,0.30
1966-09-01,0.69
1966-10-01,0.57
1966-11-01,0.37
1966-12-01,0.78
1967-01-01,1.03
1967-02-01,0.82
1967-03-01,1.32
1967-04-01,1.78
1967-05-01,2.02
1967-06-01,2.17
1967-07-01,2.47
1967-08-01,2.43
1967-09-01,2.41
1967-10-01,2.64
1967-11-01,2.59
1967-12-01,2.42
1968-01-01,2.24
1968-02-01,2.09
1968-03-01,1.80
1968-04-01,1.21
1968-05-01,0.92
1968-06-01,1.00
1968-07-01,0.96
1968-08-01,0.79
1968-09-01,1.01
1968-10-01,0.93
1968-11-01,1.19
1968-12-01,1.21
1969-01-01,1.02
1969-02-01,0.69
1969-03-01,0.72
1969-04-01,0.13
1969-05-01,-1.15
1969-06-01,-1.20
1969-07-01,-0.77
1969-08-01,-1.33
1969-09-01,-1.10
1969-10-01,-0.78
1969-11-01,-0.60
1969-12-01,-0.32
1970-01-01,-0.12
1970-02-01,-0.20
1970-03-01,0.87
1970-04-01,0.60
1970-05-01,1.04
1970-06-01,1.65
1970-07-01,2.19
1970-08-01,2.83
1970-09-01,3.10
1970-10-01,3.13
1970-11-01,3.78
1970-12-01,4.22
1971-01-01,4.60
1971-02-01,4.67
1971-03-01,4.75
1971-04-01,4.30
1971-05-01,3.99
1971-06-01,3.84
1971-07-01,3.45
1971-08-01,3.20
1971-09-01,3.04
1971-10-01,3.28
1971-11-01,3.47
1971-12-01,4.24
1972-01-01,4.73
1972-02-01,4.94
1972-03-01,4.41
1972-04-01,4.07
1972-05-01,3.96
1972-06-01,3.74
1972-07-01,3.68
1972-08-01,3.39
1972-09-01,3.22
1972-10-01,3.02
1972-11-01,2.93
1972-12-01,2.60
1973-01-01,1.96
1973-02-01,1.39
1973-03-01,0.94
1973-04-01,0.97
1973-05-01,0.22
1973-06-01,-0.36
1973-07-01,-2.16
1973-08-01,-1.97
1973-09-01,-2.15
1973-10-01,-1.60
1973-11-01,-1.61
