DATE,vwretd,vwretx,t30ret,T10YFF,AAAFFM,BAAFFM
19630131,0.051848,0.050475,0.002512,0.940909091,1.29,1.99
19630228,-0.021931,-0.026608,0.00226,0.921111111,1.19,1.89
19630329,0.032917,0.031233,0.002262,0.951904762,1.21,1.9
19630430,0.047439,0.046435,0.002661,1.101428571,1.31,1.97
19630531,0.020051,0.014726,0.00243,0.93,1.22,1.85
19630628,-0.01803,-0.019459,0.002282,1.0055,1.24,1.85
19630731,-0.001718,-0.002995,0.002784,1.054090909,1.24,1.82
19630830,0.052684,0.048035,0.002484,0.518636364,0.8,1.34
19630930,-0.011898,-0.013317,0.002755,0.6085,0.83,1.36
19631031,0.027708,0.026276,0.002919,0.611304348,0.82,1.33
19631129,-0.005549,-0.011692,0.002659,0.651176471,0.85,1.36
19631231,0.021736,0.019978,0.00306,0.800952381,0.97,1.47
19640131,0.02579,0.024731,0.002866,0.678181818,0.91,1.35
19640228,0.017207,0.012653,0.002636,0.673333333,0.88,1.35
19640331,0.017636,0.015967,0.003298,0.826190476,0.95,1.4
19640430,0.004608,0.003672,0.002904,0.776818182,0.93,1.38
19640528,0.017403,0.012531,0.00257,0.706,0.91,1.35
19640630,0.01508,0.013413,0.003136,0.67,0.91,1.35
19640731,0.020118,0.019127,0.002808,0.799545455,0.98,1.41
19640831,-0.011266,-0.015575,0.002772,0.693809524,0.91,1.32
19640930,0.03048,0.028792,0.002686,0.775238095,0.97,1.37
19641030,0.008869,0.00773,0.002997,0.896190476,1.06,1.45
19641130,0.003089,-0.002673,0.002915,0.637777778,0.91,1.29
19641231,0.00369,0.001939,0.00304,0.372727273,0.59,0.96
19650129,0.038646,0.037663,0.002915,0.3395,0.53,0.9
19650226,0.006946,0.002634,0.003198,0.252222222,0.43,0.8
19650331,-0.009715,-0.011428,0.003486,0.170869565,0.38,0.74
19650430,0.033652,0.032737,0.003118,0.117142857,0.34,0.71
19650528,-0.00435,-0.009102,0.003283,0.127,0.34,0.71
19650630,-0.051868,-0.053591,0.00338,0.197727273,0.42,0.81
19650730,0.016759,0.015871,0.003218,0.13,0.39,0.79
19650831,0.030883,0.026133,0.003309,0.134090909,0.37,0.76
19650930,0.031952,0.030357,0.003114,0.334285714,0.51,0.9
19651029,0.029271,0.028212,0.003391,0.296,0.48,0.85
19651130,0.003065,-0.002961,0.00338,0.358947368,0.5,0.85
19651231,0.013545,0.011976,0.003126,0.346363636,0.36,0.7
19660131,0.012122,0.011231,0.00363,0.288095238,0.32,0.64
19660228,-0.008621,-0.013014,0.003481,0.242631579,0.18,0.52
19660331,-0.020923,-0.022746,0.003795,0.229565217,0.27,0.67
19660429,0.024837,0.023854,0.003638,0.1115,0.29,0.74
19660531,-0.052539,-0.057483,0.004043,-0.057142857,0.08,0.58
19660630,-0.010317,-0.012063,0.003672,-0.317727273,-0.1,0.41
19660729,-0.01287,-0.013831,0.003847,-0.158,-0.14,0.38
19660831,-0.075388,-0.080712,0.004119,-0.223043478,-0.22,0.3
19660930,-0.006958,-0.008695,0.00389,-0.128571429,0.09,0.69
19661031,0.042294,0.041171,0.004389,-0.451,-0.12,0.57
19661130,0.017516,0.010606,0.003932,-0.594736842,-0.41,0.37
19661230,0.00621,0.004409,0.00363,-0.55,-0.01,0.78
19670131,0.08553,0.084077,0.003927,-0.29,0.26,1.03
19670228,0.010945,0.006257,0.003743,-0.359444444,0.03,0.82
19670331,0.043384,0.041582,0.003693,0.041818182,0.6,1.32
19670428,0.041609,0.040697,0.003344,0.562,1.06,1.78
19670531,-0.039293,-0.044217,0.003126,0.920909091,1.3,2.02
19670630,0.026903,0.025341,0.002674,1.055909091,1.46,2.17
19670731,0.049189,0.048277,0.003153,1.3775,1.79,2.47
19670831,-0.006282,-0.011073,0.00324,1.393913043,1.72,2.43
19670929,0.034286,0.032875,0.003177,1.3075,1.66,2.41
19671031,-0.027433,-0.02865,0.003649,1.61,1.94,2.64
19671130,0.007902,0.002565,0.003416,1.6145,1.94,2.59
19671229,0.033699,0.032203,0.003565,1.203,1.68,2.42
19680131,-0.03633,-0.037829,0.003934,0.924090909,1.57,2.24
19680229,-0.033624,-0.038107,0.003849,0.877894737,1.39,2.09
19680329,0.005116,0.00374,0.003977,0.720952381,1.06,1.8
19680430,0.094148,0.09273,0.004263,-0.1005,0.45,1.21
19680531,0.027041,0.022494,0.004672,-0.223636364,0.16,0.92
19680628,0.011527,0.010037,0.004436,-0.365,0.21,1
19680730,-0.022024,-0.023162,0.00479,-0.540909091,0.22,0.96
19680830,0.018038,0.013495,0.004476,-0.610454545,-0.01,0.79
19680930,0.044454,0.043207,0.004203,-0.2915,0.19,1.01
19681031,0.009041,0.007467,0.004394,-0.32173913,0.18,0.93
19681129,0.058502,0.054125,0.004457,-0.013888889,0.37,1.19
19681231,-0.033873,-0.035363,0.004249,0.123809524,0.43,1.21
19690131,-0.006711,-0.007725,0.005025,-0.267272727,0.29,1.02
19690228,-0.05364,-0.057882,0.004619,-0.357894737,0.05,0.69
19690328,0.030506,0.029062,0.004802,-0.457,0.06,0.72
19690430,0.020526,0.019345,0.004859,-1.203809524,-0.52,0.13
19690529,0.00504,0.000241,0.005215,-2.153809524,-1.88,-1.15
19690630,-0.067387,-0.068958,0.005137,-2.04,-1.92,-1.2
19690731,-0.065172,-0.066373,0.00552,-1.721428571,-1.53,-0.77
19690829,0.05149,0.046517,0.00589,-2.32047619,-2.22,-1.33
19690930,-0.02259,-0.024167,0.005856,-1.9,-2.01,-1.1
19691031,0.055638,0.053771,0.005724,-1.711363636,-1.67,-0.78
19691128,-0.032164,-0.036678,0.005509,-1.576470588,-1.5,-0.6
19691231,-0.019681,-0.021471,0.005846,-1.204090909,-1.25,-0.32
19700130,-0.073254,-0.074519,0.005781,-1.164285714,-1.07,-0.12
19700227,0.056706,0.051651,0.006167,-1.706666667,-1.05,-0.2
19700331,-0.004729,-0.006569,0.005542,-0.623809524,0.08,0.87
19700430,-0.105318,-0.106393,0.005286,-0.695,-0.27,0.6
19700529,-0.064346,-0.069931,0.005546,0.047142857,0.17,1.04
19700630,-0.051067,-0.053372,0.005546,0.301363636,0.88,1.65
19700731,0.074169,0.072132,0.004886,0.348181818,1.23,2.19
19700831,0.050036,0.044584,0.00502,0.905714286,1.52,2.83
19700930,0.047536,0.045601,0.005034,1.125714286,1.8,3.1
19701030,-0.018208,-0.02045,0.004954,1.13952381,1.83,3.13
19701130,0.050448,0.045354,0.004489,1.250588235,2.45,3.78
19701231,0.060723,0.058969,0.003786,1.543636364,2.74,4.22
19710129,0.05203,0.050772,0.003777,1.943,3.22,4.6
19710226,0.016913,0.012413,0.003344,2.451111111,3.36,4.67
19710331,0.044778,0.042972,0.002924,1.994782609,3.5,4.75
19710430,0.033332,0.0323,0.002804,1.671428571,3.1,4.3
19710528,-0.036409,-0.040737,0.003127,1.7335,2.9,3.99
19710630,0.003119,0.001385,0.003505,1.610454545,2.73,3.84
19710730,-0.040283,-0.041317,0.004272,1.42952381,2.33,3.45
19710831,0.042511,0.037666,0.004446,1.012272727,2.03,3.2
19710930,-0.005016,-0.006491,0.00363,0.616666667,1.89,3.04
19711029,-0.040682,-0.042346,0.003855,0.72,2.19,3.28
19711130,-0.001262,-0.005696,0.003506,0.9205,2.35,3.47
19711231,0.091257,0.089557,0.003152,1.834090909,3.11,4.24
19720131,0.028383,0.027169,0.00285,2.403809524,3.69,4.73
19720229,0.031349,0.027272,0.002659,2.7855,3.98,4.94
19720330,0.008722,0.007247,0.00259,2.230909091,3.41,4.41
19720428,0.005505,0.004723,0.002962,2.025,3.13,4.07
19720531,0.016375,0.01196,0.002942,1.862272727,3.03,3.96
19720630,-0.020896,-0.022412,0.0028,1.638636364,2.77,3.74
19720731,-0.004254,-0.00531,0.003084,1.5935,2.66,3.68
19720831,0.035966,0.031857,0.002988,1.386086957,2.39,3.39
19720929,-0.007671,-0.009085,0.003546,1.7245,2.35,3.22
19721031,0.008676,0.007358,0.003891,1.399,2.17,3.02
19721130,0.049764,0.045305,0.003739,1.2335,2.06,2.93
19721229,0.011243,0.009903,0.004185,1.0325,1.75,2.6
19730131,-0.027452,-0.028652,0.00441,0.509090909,1.21,1.96
19730228,-0.04437,-0.047916,0.004277,0.092777778,0.64,1.39
19730330,-0.007859,-0.009333,0.00475,-0.331818182,0.2,0.94
19730430,-0.051766,-0.052962,0.005002,-0.46,0.14,0.97
19730531,-0.024511,-0.02878,0.005098,-0.970909091,-0.55,0.22
19730629,-0.008646,-0.010422,0.005379,-1.592857143,-1.12,-0.36
19730731,0.056956,0.05551,0.00654,-3.301428571,-2.95,-2.16
19730831,-0.029657,-0.034039,0.006855,-3.045217391,-2.82,-1.97
19730928,0.053935,0.052533,0.006749,-3.622105263,-3.15,-2.15
19731031,-0.000414,-0.00214,0.006856,-3.173333333,-2.41,-1.6
19731130,-0.120708,-0.125552,0.005529,-3.38,-2.36,-1.61
19731231,0.011438,0.009422,0.006961,-3.137368421,-2.27,-1.47
19740131,0.004413,0.002807,0.006274,-2.640909091,-1.82,-1.17
19740228,0.002346,-0.002451,0.005819,-2.002777778,-1.12,-0.44
19740329,-0.023364,-0.025299,0.005677,-2.126666667,-1.34,-0.73
19740430,-0.04596,-0.047694,0.007949,-2.98,-2.26,-1.64
19740531,-0.041981,-0.04732,0.007235,-3.688636364,-2.94,-2.26
19740628,-0.022942,-0.025407,0.006892,-4.32,-3.46,-2.66
19740731,-0.070874,-0.072695,0.006756,-5.074545455,-4.2,-3.44
19740830,-0.087757,-0.094578,0.00594,-3.929545455,-3.01,-2.24
19740930,-0.109718,-0.112274,0.007997,-3.2675,-2.1,-1.16
19741031,0.165584,0.162459,0.005254,-2.160454545,-0.79,0.42
19741129,-0.041046,-0.048241,0.005139,-1.718888889,-0.56,1.15
19741231,-0.027005,-0.030302,0.007009,-0.992380952,0.36,2.1
19750131,0.1416,0.139591,0.005387,0.315454545,1.7,3.68
19750228,0.058412,0.051629,0.004326,1.205,2.38,4.41
19750331,0.03019,0.027442,0.004014,2.2855,3.13,4.94
19750430,0.046497,0.044432,0.004489,2.707727273,3.46,5.09
19750530,0.05514,0.049542,0.004869,2.832857143,3.68,5.47
19750630,0.051473,0.048958,0.004133,2.332857143,3.22,5.07
19750731,-0.060385,-0.062318,0.004811,1.979090909,2.74,4.45
19750829,-0.023557,-0.02896,0.004815,2.271904762,2.81,4.45
19750930,-0.03801,-0.040486,0.005575,2.201904762,2.71,4.37
19751031,0.055857,0.053273,0.005185,2.322727273,3.04,4.8
19751128,0.031223,0.025803,0.004127,2.887647059,3.56,5.34
19751231,-0.010998,-0.013677,0.004983,2.800454545,3.59,5.36
19760130,0.126012,0.124372,0.004402,2.904761905,3.73,5.54
19760227,0.00731,0.002081,0.003452,3.036666667,3.78,5.47
19760331,0.02674,0.024295,0.004344,2.896086957,3.68,5.28
19760430,-0.010402,-0.011668,0.00444,2.71952381,3.58,5.12
19760528,-0.009326,-0.015305,0.004124,2.624,3.29,4.57
19760630,0.044522,0.042169,0.004446,2.381818182,3.14,4.41
19760730,-0.006135,-0.007573,0.00439,2.533333333,3.25,4.51
19760831,-0.001398,-0.007387,0.004745,2.470454545,3.16,4.35
19760930,0.024512,0.022385,0.003924,2.34,3.13,4.15
19761029,-0.020373,-0.02225,0.004092,2.3995,3.3,4.27
19761130,0.005361,-0.001441,0.00444,2.345263158,3.3,4.28
19761231,0.061593,0.059302,0.003579,2.191363636,3.33,4.47
19770131,-0.036328,-0.037997,0.003594,2.567619048,3.35,4.47
19770228,-0.015744,-0.021769,0.003499,2.702105263,3.36,4.44
19770331,-0.009249,-0.011797,0.003769,2.763913043,3.41,4.43
19770429,0.004962,0.003564,0.004114,2.646,3.31,4.34
