DATE,vwretd,vwretx,totval
19620131,-0.036147,-0.037488,364665092.00
19620228,0.019512,0.015252,371979171.00
19620330,-0.004688,-0.006113,369437300.00
19620430,-0.063435,-0.064212,345937603.00
19620531,-0.084620,-0.089763,315141998.00
19620629,-0.082615,-0.084336,287510458.00
19620731,0.065438,0.064129,333171296.00
19620831,0.023417,0.017888,339268978.00
19620928,-0.050156,-0.051784,321975418.00
19621031,0.002184,0.000427,321862346.00
19621130,0.110137,0.102924,355051088.00
19621231,0.011865,0.010056,360094344.00
19630131,0.051848,0.050475,378456656.00
19630228,-0.021931,-0.026608,368526739.00
19630329,0.032917,0.031233,380298778.00
19630430,0.047439,0.046435,398528240.00
19630531,0.020051,0.014726,404613679.00
19630628,-0.018030,-0.019459,396986570.00
19630731,-0.001718,-0.002995,395750077.00
19630830,0.052684,0.048035,415160422.00
19630930,-0.011898,-0.013317,409718288.00
19631031,0.027708,0.026276,420372992.00
19631129,-0.005549,-0.011692,413917007.00
19631231,0.021736,0.019978,424618266.00
19640131,0.025790,0.024731,437651545.00
19640228,0.017207,0.012653,444492707.00
19640331,0.017636,0.015967,452022205.00
19640430,0.004608,0.003672,455775656.00
19640528,0.017403,0.012531,461942488.00
19640630,0.015080,0.013413,468073902.00
19640731,0.020118,0.019127,477818842.00
19640831,-0.011266,-0.015575,470305397.00
19640930,0.030480,0.028792,484458915.00
19641030,0.008869,0.007730,487972765.00
19641130,0.003089,-0.002673,484526774.00
19641231,0.003690,0.001939,490134900.00
19650129,0.038646,0.037663,508868132.00
19650226,0.006946,0.002634,510269554.00
19650331,-0.009715,-0.011428,505896929.00
19650430,0.033652,0.032737,522849217.00
19650528,-0.004350,-0.009102,519311933.00
19650630,-0.051868,-0.053591,491607566.00
19650730,0.016759,0.015871,499283225.00
19650831,0.030883,0.026133,512374462.00
19650930,0.031952,0.030357,527974011.00
19651029,0.029271,0.028212,543355237.00
19651130,0.003065,-0.002961,541240233.00
19651231,0.013545,0.011976,552707745.00
19660131,0.012122,0.011231,559237005.00
19660228,-0.008621,-0.013014,551907491.00
19660331,-0.020923,-0.022746,539522772.00
19660429,0.024837,0.023854,552100198.00
19660531,-0.052539,-0.057483,521690192.00
19660630,-0.010317,-0.012063,515842452.00
19660729,-0.012870,-0.013831,509213022.00
19660831,-0.075388,-0.080712,468282312.00
19660930,-0.006958,-0.008695,463864204.00
19661031,0.042294,0.041171,483010860.00
19661130,0.017516,0.010606,488588303.00
19661230,0.006210,0.004409,495609544.00
19670131,0.085530,0.084077,537648696.00
19670228,0.010945,0.006257,542025153.00
19670331,0.043384,0.041582,564273527.00
19670428,0.041609,0.040697,587687580.00
19670531,-0.039293,-0.044217,560452068.00
