Date,Mkt-RF,SMB,HML,RF
196001,-6.98,2.09,2.73,0.33
196002,1.17,0.51,-1.99,0.29
196003,-1.63,-0.51,-2.85,0.35
196004,-1.71,0.31,-2.23,0.19
196005,3.12,1.21,-3.76,0.27
196006,2.08,-0.22,-0.34,0.24
196007,-2.37,-0.52,2.03,0.13
196008,3.01,0.9,-0.19,0.17
196009,-5.99,-1.11,1.58,0.16
196010,-0.71,-3.95,2.6,0.22
196011,4.69,0.35,-2.45,0.13
196012,4.71,-1.56,-0.79,0.16
196101,6.2,0.66,3.7,0.19
196102,3.57,3.98,-0.74,0.14
196103,2.89,3.27,-0.77,0.2
196104,0.29,0.1,2.05,0.17
196105,2.4,1.95,0.48,0.18
196106,-3.08,-2.47,-0.18,0.2
196107,2.83,-1.88,-0.11,0.18
196108,2.57,-1.75,-0.28,0.14
196109,-2.15,-1.05,-0.58,0.17
196110,2.57,-1.61,0.12,0.19
196111,4.45,1.24,-1.19,0.15
196112,-0.18,-0.83,1.83,0.19
196201,-3.87,1.78,5.09,0.24
196202,1.81,-1.16,0.85,0.2
196203,-0.68,0.53,-1.43,0.2
196204,-6.59,-0.68,0.03,0.22
196205,-8.65,-3.33,2.78,0.24
196206,-8.47,-0.57,2.54,0.2
196207,6.28,1.49,-3.44,0.27
196208,2.13,1.23,-1.19,0.23
196209,-5.22,-2.43,1.23,0.21
196210,-0.05,-3.97,1.29,0.25
196211,10.87,2.61,1.01,0.2
196212,1.01,-3.8,0.33,0.23
196301,4.93,3.06,2.26,0.25
196302,-2.38,0.5,2.21,0.23
196303,3.08,-2.62,2.1,0.23
196304,4.51,-1.31,1.01,0.25
196305,1.76,1.12,2.5,0.24
196306,-2,-0.25,0.7,0.23
196307,-0.39,-0.56,-0.83,0.27
196308,5.07,-0.94,1.67,0.25
196309,-1.57,-0.31,0.18,0.27
196310,2.53,-0.54,-0.1,0.29
196311,-0.85,-1.13,1.71,0.27
196312,1.83,-1.97,-0.12,0.29
196401,2.24,-0.19,1.59,0.3
196402,1.54,0.1,2.83,0.26
196403,1.41,0.99,3.32,0.31
196404,0.1,-1.37,-0.55,0.29
196405,1.42,-0.9,1.98,0.26
196406,1.27,-0.26,0.68,0.3
196407,1.74,0.28,0.68,0.3
196408,-1.44,0.09,0.09,0.28
196409,2.69,-0.51,1.65,0.28
196410,0.59,0.43,1.14,0.29
196411,0,0.61,-1.98,0.29
196412,0.03,-0.26,-2.55,0.31
196501,3.54,2.7,0.18,0.28
196502,0.44,3.48,0.22,0.3
196503,-1.34,1.79,1.09,0.36
196504,3.11,1.2,0.71,0.31
196505,-0.77,0.04,-1.63,0.31
196506,-5.51,-4.35,0.55,0.35
196507,1.43,0.87,2.18,0.31
196508,2.73,2.81,-0.96,0.33
196509,2.86,0.61,-0.1,0.31
196510,2.6,2.48,1.52,0.31
196511,-0.03,4.68,0.21,0.35
196512,1.01,2.08,1.95,0.33
196601,0.72,3.89,3.49,0.38
196602,-1.21,4.54,0.27,0.35
196603,-2.51,0.94,-2.07,0.38
196604,2.14,3.45,-0.54,0.34
196605,-5.66,-4.7,-1.55,0.41
196606,-1.44,1.02,0.5,0.38
196607,-1.63,-0.44,0.96,0.35
196608,-7.91,-3.23,0.47,0.41
196609,-1.06,-1.07,0.53,0.4
196610,3.86,-6.64,2.87,0.45
196611,1.4,4.22,-4.46,0.4
196612,0.13,1.86,-1.22,0.4
196701,8.15,8.32,2.22,0.43
196702,0.78,3.34,-2.17,0.36
196703,3.99,1.63,0.31,0.39
196704,3.89,0.62,-2.64,0.32
196705,-4.33,1.98,0.8,0.33
196706,2.41,5.96,0.96,0.27
196707,4.58,3.08,2.65,0.31
196708,-0.89,0.47,1.46,0.31
196709,3.11,3.1,-2.47,0.32
196710,-3.09,1.42,-3.39,0.39
196711,0.37,0.2,-1.71,0.36
196712,3.05,5.73,-0.39,0.33
196801,-4.06,3.91,4.75,0.4
196802,-3.75,-2.95,1.17,0.39
196803,0.2,-1.28,-0.59,0.38
196804,9.05,5.73,-1.03,0.43
196805,2.28,6.43,0.84,0.45
196806,0.69,-0.17,0.67,0.43
196807,-2.72,-1.3,5.48,0.48
196808,1.34,2.34,1,0.42
196809,4.03,2.76,0.24,0.43
196810,0.42,-0.47,2.89,0.44
196811,5.43,2.36,-0.9,0.42
196812,-3.94,3.44,0.02,0.43
196901,-1.25,-0.78,1.69,0.53
196902,-5.84,-3.89,0.9,0.46
196903,2.64,-0.25,-0.46,0.46
196904,1.46,-0.88,0.03,0.53
196905,-0.1,-0.27,0.73,0.48
196906,-7.18,-5.39,-1.09,0.51
196907,-7,-3.21,1.42,0.53
196908,4.68,0.94,-3.87,0.5
196909,-2.98,1.2,-3.19,0.62
196910,5.06,3.81,-3.19,0.6
196911,-3.79,-2.53,-1.12,0.52
196912,-2.63,-3.67,-3.02,0.64
197001,-8.1,2.9,3.04,0.6
197002,5.13,-2.4,4.04,0.62
197003,-1.06,-2.32,4.25,0.57
197004,-11,-6.11,6.39,0.5
197005,-6.92,-4.52,3.6,0.53
197006,-5.79,-2.16,0.87,0.58
197007,6.93,-0.54,0.96,0.52
197008,4.49,1.52,1.03,0.53
197009,4.18,8.62,-5.58,0.54
197010,-2.28,-4.28,0.27,0.46
197011,4.59,-4.07,1.63,0.46
197012,5.72,2.97,1.01,0.42
197101,4.84,7.37,1.38,0.38
197102,1.41,1.88,-1.29,0.33
197103,4.13,2.54,-4.04,0.3
197104,3.15,-0.49,0.72,0.28
197105,-3.98,-1.1,-1.38,0.29
197106,-0.1,-1.42,-2.06,0.37
197107,-4.5,-1.5,0.17,0.4
197108,3.79,-0.16,2.67,0.47
197109,-0.85,0.41,-2.96,0.37
197110,-4.42,-1.8,-0.43,0.37
197111,-0.46,-2.85,-1.7,0.37
197112,8.71,3.32,-0.35,0.37
197201,2.49,6.12,1.99,0.29
197202,2.87,1.37,-2.76,0.25
197203,0.63,-0.27,-1.73,0.27
197204,0.29,0.01,0.23,0.29
197205,1.25,-2.79,-2.69,0.3
197206,-2.43,0.33,-2.51,0.29
197207,-0.8,-2.89,0.78,0.31
197208,3.26,-4.09,4.69,0.29
197209,-1.14,-2.67,0.47,0.34
197210,0.52,-2.74,1.37,0.4
197211,4.6,-1.11,4.76,0.37
197212,0.62,-1.86,-2.27,0.37
197301,-3.29,-3.48,2.68,0.44
197302,-4.85,-3.99,1.7,0.41
197303,-1.3,-2.82,2.78,0.46
197304,-5.68,-3.99,5.69,0.52
197305,-2.94,-6.12,0.21,0.51
197306,-1.56,-2.95,1.44,0.51
197307,5.05,7.91,-5.31,0.64
197308,-3.82,-2.03,1.14,0.7
197309,4.75,2.94,2.18,0.68
197310,-0.83,-0.23,1.74,0.65
197311,-12.75,-7.7,4.04,0.56
197312,0.61,-5.29,4.09,0.64
197401,-0.17,9.76,5.99,0.63
197402,-0.47,0.05,2.54,0.58
197403,-2.81,2.51,-0.11,0.56
197404,-5.29,-0.71,1.06,0.75
197405,-4.68,-3.01,-2.04,0.75
197406,-2.83,-0.2,0.79,0.6
197407,-8.05,0.92,5.14,0.7
197408,-9.35,-0.68,2.5,0.6
197409,-11.77,0.27,5.49,0.81
197410,16.1,-3.51,-9.99,0.51
197411,-4.51,-1.17,-0.16,0.54
197412,-3.45,-4.84,0,0.7
197501,13.66,11.01,8.44,0.58
197502,5.56,0.16,-4.56,0.43
197503,2.66,3.75,2.49,0.41
197504,4.23,-0.54,-1.11,0.44
197505,5.19,3.83,-4.02,0.44
197506,4.83,0.76,1.32,0.41
197507,-6.59,2.69,1.7,0.48
197508,-2.85,-3.2,-0.9,0.48
197509,-4.26,-0.13,0.34,0.53
197510,5.31,-4.02,0.3,0.56
197511,2.64,-1.19,1.99,0.41
197512,-1.6,-0.76,1.76,0.48
197601,12.16,4.8,8.58,0.47
197602,0.32,7.03,5.78,0.34
197603,2.32,-1.17,-0.04,0.4
197604,-1.49,-0.03,-0.06,0.42
197605,-1.34,-1.24,-1.32,0.37
197606,4.05,-1.35,0.68,0.43
197607,-1.07,0.31,1.74,0.47
197608,-0.56,-2.01,0.79,0.42
197609,2.07,-0.01,-0.29,0.44
197610,-2.42,0.25,-0.13,0.41
197611,0.36,2.32,1.51,0.4
197612,5.65,3.01,2.22,0.4
197701,-4.05,4.78,4.26,0.36
197702,-1.94,1.08,0.5,0.35
197703,-1.37,0.99,1.02,0.38
197704,0.15,-0.12,3.45,0.38
197705,-1.45,1.18,0.84,0.37
197706,4.71,2.13,-0.64,0.4
197707,-1.69,2.12,-0.59,0.42
197708,-1.75,1.52,-2.79,0.44
197709,-0.27,1.45,-0.49,0.43
197710,-4.38,1.27,1.72,0.49
197711,4,3.72,0.31,0.5
197712,0.27,1.35,-0.37,0.49
197801,-6.01,2.22,3.31,0.49
197802,-1.38,3.59,0.76,0.46
197803,2.85,3.48,1.2,0.53
197804,7.88,0.4,-3.54,0.54
197805,1.76,4.56,-0.62,0.51
197806,-1.69,1.69,0.59,0.54
197807,5.11,0.26,-1.11,0.56
197808,3.75,5.06,-0.46,0.56
197809,-1.43,-0.39,1.87,0.62
197810,-11.91,-9.88,1.36,0.68
197811,2.71,3.01,-2.22,0.7
197812,0.88,1.24,-2.19,0.78
197901,4.23,3.66,2.27,0.77
197902,-3.56,0.45,1.2,0.73
197903,5.68,3.19,-0.67,0.81
197904,-0.06,2.18,1.05,0.8
197905,-2.21,0.16,1.32,0.82
197906,3.85,1.17,1.48,0.81
197907,0.82,1.26,1.7,0.77
197908,5.53,2.08,-1.55,0.77
197909,-0.82,-0.25,-0.87,0.83
